Data source name,Variable Id,Standard Variable Name,Long Variable Name,Unit,Missing Value/FillValue,Value Max,Value Min,Calendar,Cell Method,Scale Factor,Temporal Coverage,Data freshness,Geographic coverage polygon,Geographic coverage name,Spatial Resolution,CKAN resource id
ECMWF ERA 20C,longitude,model_grid_node__longitude,longitude,,,,,,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
ECMWF ERA 20C,latitude,model_grid_node__latitude,latitude,,,,,,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
ECMWF ERA 20C,time,,time,hours since 1900-01-01 00:00:0.0,,,,gregorian,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
ECMWF ERA 20C,sp,surface_air_pressure,Surface pressure,,,,,,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
ECMWF ERA 20C,tcc,cloud_area_fraction,Total cloud cover,,,,,,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
ECMWF ERA 20C,u10,,10 metre U wind component,m s**-1,,,,,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
ECMWF ERA 20C,v10,,10 metre V wind component,,,,,,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
ECMWF ERA 20C,t2m,,2 metre temperature,K,,,,,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
ECMWF ERA 20C,d2m,,2 metre dewpoint temperature,,,,,,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
ECMWF ERA 20C,al,surface_albedo,Albedo,,,,,,,,2010-10-01T12:00:00/2010-10-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,e1a71a7c-9a45-485e-9989-55b4a1fee6ea
